;Unnamed: 0;filename;relative_path;CPU_opencv_Dlib;CPU_opencv_Facenet512;CPU_opencv_Facenet;CPU_opencv_ArcFace;CPU_opencv_OpenFace;CPU_opencv_DeepID;CPU_opencv_DeepFace;CPU_opencv_GhostFaceNet;CPU_opencv_sFace;CPU_ssd_Dlib;CPU_ssd_Facenet512;CPU_ssd_Facenet;CPU_ssd_ArcFace;CPU_ssd_OpenFace;CPU_ssd_DeepID;CPU_ssd_DeepFace;CPU_ssd_GhostFaceNet;CPU_ssd_sFace;CPU_dlib_Dlib;CPU_dlib_Facenet512;CPU_dlib_Facenet;CPU_dlib_ArcFace;CPU_dlib_OpenFace;CPU_dlib_DeepID;CPU_dlib_DeepFace;CPU_dlib_GhostFaceNet;CPU_dlib_sFace;CPU_mtcnn_Dlib;CPU_mtcnn_Facenet512;CPU_mtcnn_Facenet;CPU_mtcnn_ArcFace;CPU_mtcnn_OpenFace;CPU_mtcnn_DeepID;CPU_mtcnn_DeepFace;CPU_mtcnn_GhostFaceNet;CPU_mtcnn_sFace;CPU_retinaface_Dlib;CPU_retinaface_Facenet512;CPU_retinaface_Facenet;CPU_retinaface_ArcFace;CPU_retinaface_OpenFace;CPU_retinaface_DeepID;CPU_retinaface_DeepFace;CPU_retinaface_GhostFaceNet;CPU_retinaface_sFace;CPU_yolov8_Dlib;CPU_yolov8_Facenet512;CPU_yolov8_Facenet;CPU_yolov8_ArcFace;CPU_yolov8_OpenFace;CPU_yolov8_DeepID;CPU_yolov8_DeepFace;CPU_yolov8_GhostFaceNet;CPU_yolov8_sFace;CPU_yunet_Dlib;CPU_yunet_Facenet512;CPU_yunet_Facenet;CPU_yunet_ArcFace;CPU_yunet_OpenFace;CPU_yunet_DeepID;CPU_yunet_DeepFace;CPU_yunet_GhostFaceNet;CPU_yunet_sFace;CPU_fastmtcnn_Dlib;CPU_fastmtcnn_Facenet512;CPU_fastmtcnn_Facenet;CPU_fastmtcnn_ArcFace;CPU_fastmtcnn_OpenFace;CPU_fastmtcnn_DeepID;CPU_fastmtcnn_DeepFace;CPU_fastmtcnn_GhostFaceNet;CPU_fastmtcnn_sFace;image_size;image_width;image_height
0;0;001_fe3347c0.jpg;imagens/Celebrity Faces Dataset/Angelina Jolie/001_fe3347c0.jpg;;3.49160285799735;2.1987480739990133;1.9348244569991948;2.060677809000481;0.2754687420019763;;4.458305574997212;;;0.4694228019943693;0.3309281209949404;0.2841566749993944;0.1605925330004538;0.0909773710009176;;0.3031776299976627;;;;;;;;;;;;4.295585241998197;2.2357372080005007;1.7856724720040802;1.4891180979975616;1.4682039160034035;;1.730977941006131;;;42.43899439099914;13.460159633999863;12.243795837996004;12.941869217000203;12.06371641199803;;12.36305698799697;;;;;;;;;;;;0.1938590810023015;0.20135745099833;0.1981987120016128;0.1177556060065398;0.0444384160000481;;0.1999032340027042;;;;;;;;;;;36023.0;474.0;569.0
1;1;002_8f8da10e.jpg;imagens/Celebrity Faces Dataset/Angelina Jolie/002_8f8da10e.jpg;;0.407441833995108;0.3380840110039571;0.3604278299972066;0.241421699996863;0.1405985430028522;;0.4199997429968789;;;0.3355582310032332;0.3112383260013303;0.2608104570026626;0.1896422610006993;0.1016470570029923;;0.3738404370014905;;;;;;;;;;;;1.8735479879978807;2.1597190989996307;1.454526090004947;1.431541157005995;1.5890313199997763;;1.5409445620025508;;;11.511672825996357;10.487593746001949;10.53885890100355;10.562441997004498;10.316957912000362;;10.927605773998948;;;;;;;;;;;;0.1837037060031434;0.200687847995141;0.1789957110013347;0.1022574460002943;0.0472053970006527;;0.1627060610044282;;;;;;;;;;;38793.0;474.0;474.0
2;2;003_57612506.jpg;imagens/Celebrity Faces Dataset/Angelina Jolie/003_57612506.jpg;;0.393831705005141;0.3384815039971727;0.3691457090026233;0.2136380589945474;0.1636957119990256;;0.3848015019975719;;;0.2913779840018833;0.3231406170016271;0.3446786330023315;0.1661463119962718;0.2063174119975883;;0.2942334299950744;;;;;;;;;;;;2.0382118790003005;1.6708976589943632;1.7139487849999568;1.5064266650006175;1.615082671996788;;1.5776613229973009;;;12.811836319997385;12.75131969799986;13.435167112002093;12.18340800000442;12.266609179001534;;12.398148490996393;;;;;;;;;;;;0.1985342569969361;0.1995170469963341;0.2018380430017714;0.1078447920008329;0.0365228179944097;;0.1868696189994807;;;;;;;;;;;33755.0;474.0;568.0
3;3;004_f61e7d0c.jpg;imagens/Celebrity Faces Dataset/Angelina Jolie/004_f61e7d0c.jpg;;0.2890495390020078;0.2588029600010486;0.267864642002678;0.1266791599991847;0.0611472430027788;;0.3508758699972532;;;0.3299298139972961;0.2662418990003061;0.2446528400032548;0.1341928529946017;0.0806546509993495;;0.2462297870006295;;;;;;;;;;;;1.3386873529962031;1.0025841759998002;1.0261994339962257;1.003026795995538;1.008307240997965;;1.1149573389993748;;;13.000098227996205;13.037246769003104;12.69673979900108;13.275562382994394;12.456820264000273;;12.78725343199767;;;;;;;;;;;;0.1885079319981741;0.183079197006009;0.1763015809992794;0.098236893005378;0.0294600189954508;;0.1631117039942182;;;;;;;;;;;5675.0;160.0;198.0
4;4;005_582c121a.jpg;imagens/Celebrity Faces Dataset/Angelina Jolie/005_582c121a.jpg;;0.3730079669985571;0.3322898000042187;0.3261129129969049;0.2020900330026052;0.1364732859947253;;0.3608066119995783;;;0.3029661730033695;0.2929048160003731;0.241627345996676;0.1780446699995082;0.1294840770060545;;0.3501196219949634;;;;;;;;;;;;1.8376199550039016;1.3933234979995175;1.7527093809985672;1.4564876109943723;1.6167778439994436;;1.5934477349946974;;;11.990741866997269;12.608987202998833;11.18816899399826;11.052395594997506;11.139960151995185;;11.839404746999207;;;;;;;;;;;;0.2059803920055856;0.1964032660034718;0.1801104670012137;0.1030390360028832;0.0641442220003227;;0.2002513799961889;;;;;;;;;;;35651.0;474.0;512.0
5;5;006_9135205d.jpg;imagens/Celebrity Faces Dataset/Angelina Jolie/006_9135205d.jpg;;0.7440551620020415;0.5854172289982671;0.5830352420016425;0.3625839649976115;0.192796344999806;;0.6814885330022662;;;0.3262430579998181;0.309877610001422;0.3256900050037075;0.1537172140015172;0.1344425200004479;;0.3282400559983216;;;;;;;;;;;;2.3369630460001645;2.1151892429988948;1.7717206180022913;1.6078007179967244;1.8041127789983875;;2.1657247099938104;;;13.306278446005308;12.903482344998338;12.407646498002578;12.31949488400278;12.661259971006077;;12.666050852996705;;;;;;;;;;;;0.2020029869963764;0.2149163879948901;0.2048598649998894;0.1114277080050669;0.0624921170019661;;0.2068182440052623;;;;;;;;;;;45088.0;474.0;568.0
6;6;007_cabbfcbb.jpg;imagens/Celebrity Faces Dataset/Angelina Jolie/007_cabbfcbb.jpg;;0.3589526389987441;0.341901470994344;0.2963955779996468;0.1980723230008152;0.1229544210000312;;0.3672533819990349;;;0.3133757929972489;0.298714110002038;0.2711234210000839;0.1562097880014334;0.110262052003236;;0.2910675399980391;;;;;;;;;;;;1.9023149450003984;1.3571936520020245;2.010734430994489;1.3427033740008485;1.6469123100032448;;2.012824315002945;;;12.234147909999592;10.970728837994102;11.364241296003456;10.897917464993952;10.731056188000366;;10.812127559001963;;;;;;;;;;;;0.1841828249962418;0.209391782998864;0.2012960139982169;0.0913100000034319;0.0659775499952957;;0.1916260509970015;;;;;;;;;;;21699.0;474.0;498.0
7;7;008_d1f87068.jpg;imagens/Celebrity Faces Dataset/Angelina Jolie/008_d1f87068.jpg;;0.6922652880020905;0.5937635260052048;0.4925628900018637;0.3075273400027072;0.1595975749951321;;0.6265313800031436;;;0.2816202559988596;0.3149329439984285;0.2535726220012293;0.1442271850028191;0.1013396470007137;;0.3204497229962726;;;;;;;;;;;;1.5035736429999815;1.5030446739983745;2.019800691996352;1.427363406997756;1.475077311995847;;2.02519545800169;;;10.695264194997437;10.762574544998644;10.276253921001626;10.212311078998027;10.84873041100218;;10.470069887000136;;;;;;;;;;;;0.1982364689974929;0.1978697679951437;0.1989692499992088;0.1098119130037957;0.0705053970013978;;0.190541015996132;;;;;;;;;;;33334.0;474.0;474.0
8;8;009_fb3e6174.jpg;imagens/Celebrity Faces Dataset/Angelina Jolie/009_fb3e6174.jpg;;0.4222487160004675;0.3430932189949089;0.3062539789971197;0.1998756489992956;0.1416878689997247;;0.3582507469982374;;;0.3097501919983187;0.3096076689980691;0.2963676960062003;0.1594316209957469;0.0856746410063351;;0.3002685270039364;;;;;;;;;;;;1.547890585999994;1.9953878529995563;1.4929874680019566;1.4663610790012171;1.5129396070042276;;1.5119205989976765;;;12.486459574000037;12.548865441000087;13.716014281999378;12.543302181999024;12.050861174000602;;12.389361169996846;;;;;;;;;;;;0.2023905129972263;0.2623315450036898;0.1803703350014984;0.1050951429933775;0.0606829640018986;;0.1885981779996655;;;;;;;;;;;35293.0;474.0;568.0
9;9;010_f99d79e3.jpg;imagens/Celebrity Faces Dataset/Angelina Jolie/010_f99d79e3.jpg;;0.7563423560059164;0.6175551730048028;0.5367060630014748;0.3532470919963089;0.1925013319996651;;0.6634824389984715;;;0.28756216000329;0.3172756650019437;0.2884920680007781;0.1622476549964631;0.1302117860032012;;0.2942466129970853;;;;;;;;;;;;1.6882585950006614;1.9153793680015951;1.691167161006888;1.5493904710019706;1.720265483003459;;1.8002050700015388;;;12.800230505003128;12.65383435699914;13.20653293399664;12.287770166003613;12.21739447300206;;12.344105017000402;;;;;;;;;;;;0.3556436639992171;0.3724970219991519;0.3212545849964954;0.1720484929974191;0.0770266269973944;;0.3378874760019243;;;;;;;;;;;49009.0;474.0;568.0
