;Unnamed: 0;CPU_opencv_Dlib;CPU_opencv_Facenet512;CPU_opencv_Facenet;CPU_opencv_ArcFace;CPU_opencv_OpenFace;CPU_opencv_DeepID;CPU_opencv_DeepFace;CPU_opencv_GhostFaceNet;CPU_opencv_sFace;CPU_ssd_Dlib;CPU_ssd_Facenet512;CPU_ssd_Facenet;CPU_ssd_ArcFace;CPU_ssd_OpenFace;CPU_ssd_DeepID;CPU_ssd_DeepFace;CPU_ssd_GhostFaceNet;CPU_ssd_sFace;CPU_dlib_Dlib;CPU_dlib_Facenet512;CPU_dlib_Facenet;CPU_dlib_ArcFace;CPU_dlib_OpenFace;CPU_dlib_DeepID;CPU_dlib_DeepFace;CPU_dlib_GhostFaceNet;CPU_dlib_sFace;CPU_mtcnn_Dlib;CPU_mtcnn_Facenet512;CPU_mtcnn_Facenet;CPU_mtcnn_ArcFace;CPU_mtcnn_OpenFace;CPU_mtcnn_DeepID;CPU_mtcnn_DeepFace;CPU_mtcnn_GhostFaceNet;CPU_mtcnn_sFace;CPU_retinaface_Dlib;CPU_retinaface_Facenet512;CPU_retinaface_Facenet;CPU_retinaface_ArcFace;CPU_retinaface_OpenFace;CPU_retinaface_DeepID;CPU_retinaface_DeepFace;CPU_retinaface_GhostFaceNet;CPU_retinaface_sFace;CPU_yolov8_Dlib;CPU_yolov8_Facenet512;CPU_yolov8_Facenet;CPU_yolov8_ArcFace;CPU_yolov8_OpenFace;CPU_yolov8_DeepID;CPU_yolov8_DeepFace;CPU_yolov8_GhostFaceNet;CPU_yolov8_sFace;CPU_yunet_Dlib;CPU_yunet_Facenet512;CPU_yunet_Facenet;CPU_yunet_ArcFace;CPU_yunet_OpenFace;CPU_yunet_DeepID;CPU_yunet_DeepFace;CPU_yunet_GhostFaceNet;CPU_yunet_sFace;CPU_fastmtcnn_Dlib;CPU_fastmtcnn_Facenet512;CPU_fastmtcnn_Facenet;CPU_fastmtcnn_ArcFace;CPU_fastmtcnn_OpenFace;CPU_fastmtcnn_DeepID;CPU_fastmtcnn_DeepFace;CPU_fastmtcnn_GhostFaceNet;CPU_fastmtcnn_sFace
count;100.0;0.0;98.0;98.0;98.0;98.0;98.0;0.0;98.0;0.0;0.0;99.0;99.0;99.0;99.0;99.0;0.0;99.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;0.0;100.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;99.0;99.0;99.0;99.0;99.0;0.0;99.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
mean;49.5;;0.4297268805919662;0.43001351454051695;0.3631445810203833;0.24470219890801154;0.14181768509200876;;0.4269764601938695;;;0.3426127783631356;0.3139017935051622;0.299286305232575;0.16952789205081192;0.11634619904075266;;0.331198812716901;;;;;;;;;;;;1.7094721828192996;1.7355663498601643;1.6262646671898984;1.5854512281398638;1.620633551429637;;2.8938418961493153;;;12.595057928080132;12.170806190589937;12.033428064010295;11.886764574009794;11.897327694040142;;12.066017354459763;;;;;;;;;;;;0.1990689697070988;0.20730216753512687;0.19170977502999265;0.10412607707110856;0.06097632264631686;;0.1931260026259509;;;;;;;;;;
std;29.011491975882016;;0.32863871248255555;0.20818728988227378;0.17929262304725435;0.19481972753991164;0.03729976537914415;;0.4223599540634358;;;0.05886280449470465;0.04054451817503756;0.05071736032411744;0.028050623065108443;0.029619387931823483;;0.058392215377444864;;;;;;;;;;;;0.3862214770241555;0.3109677149445713;0.26384031201140135;0.28966717893011124;0.30011424642985984;;1.6722524763620517;;;3.1870051374167265;1.3740296514240817;1.071676544740533;1.1021546994566966;1.1102908750243996;;1.3166753880500444;;;;;;;;;;;;0.01995596315667785;0.025373884892081852;0.01922922273598013;0.012765411393289464;0.010841150034922637;;0.022469443190758772;;;;;;;;;;
min;0.0;;0.254438502000994;0.2588029600010486;0.2304813020018628;0.1118413959993631;0.0559240439979475;;0.2431663160023163;;;0.2732335239998065;0.259568579000188;0.2354683300000033;0.1282039139987318;0.0621642069963854;;0.2462297870006295;;;;;;;;;;;;0.9901644919955288;1.0025841759998002;1.0261994339962257;1.003026795995538;0.9248665949999122;;1.045055612004944;;;10.47347298800014;10.254360669998276;10.257171466000727;10.173737755998443;10.015147090998653;;10.256471813001554;;;;;;;;;;;;0.1706128189980518;0.1628667609984404;0.1579765170026803;0.0788236520020291;0.0294600189954508;;0.1601005690026795;;;;;;;;;;
25%;24.75;;0.3466318477494496;0.35811012174781354;0.3038956492473517;0.19122924900148058;0.1263776194973615;;0.33629094199932297;;;0.3121010175018455;0.2932023969988222;0.2619473435006512;0.1528580634985701;0.0962404470046749;;0.29197232549995533;;;;;;;;;;;;1.5010362785014877;1.5144523087528796;1.5050723782551358;1.4254035212507006;1.4665919132530687;;1.5906942007459293;;;11.372511321251297;10.793235457000264;11.07249271825276;10.764214545499271;10.838633753250178;;10.922267325249777;;;;;;;;;;;;0.1884300325000367;0.19603433349766414;0.1801074575014354;0.0961450535032781;0.0547511490003671;;0.1827778155020496;;;;;;;;;;
50%;49.5;;0.3721696624998003;0.37984171550488094;0.32592350999766495;0.2177699059975566;0.1422620804987673;;0.35695178999958443;;;0.3262244629950146;0.3063514659952489;0.2917533530053333;0.1622476549964631;0.1085618930010241;;0.3204497229962726;;;;;;;;;;;;1.6679545534971112;1.6839876955054933;1.5646007450013713;1.5079367529979208;1.6085101710013987;;2.0190098865023174;;;12.656108017996305;12.453108425495884;12.436046780505421;12.286291448504926;12.217911311501666;;12.375802676495368;;;;;;;;;;;;0.1991949060029583;0.2031267889979062;0.1908580169983906;0.1036821430025156;0.0629287930059945;;0.1910138000021106;;;;;;;;;;
75%;74.25;;0.4155515667498548;0.415287501498824;0.3584538419981982;0.24613456124825456;0.16509925175341772;;0.3845959552490967;;;0.3456028589971538;0.3230408749986964;0.3206449024983158;0.18081599750075836;0.12984793150462787;;0.35090680900248117;;;;;;;;;;;;1.81375525900512;1.9382387092518911;1.7385415187491162;1.775909043248248;1.805055723498299;;4.665095851996739;;;13.041846405001705;12.900875238496155;12.774359551000089;12.672829348495727;12.642175062252136;;12.760187573752775;;;;;;;;;;;;0.20508064800014836;0.21222132000184496;0.20112676650023786;0.10985019500367335;0.0685321025011944;;0.1999467384994204;;;;;;;;;;
max;99.0;;3.49160285799735;2.1987480739990133;1.9348244569991948;2.060677809000481;0.2754687420019763;;4.458305574997212;;;0.5992105619952781;0.561066367001331;0.5349777509982232;0.2634907230021781;0.2188114970049355;;0.6489109649992315;;;;;;;;;;;;4.295585241998197;2.603367388001061;2.597421531994769;2.691659067000728;2.5332007969991537;;7.313803482997173;;;42.43899439099914;20.22406966899871;14.250555968996196;14.393784874999255;14.157794676000776;;20.67308452800353;;;;;;;;;;;;0.3556436639992171;0.3724970219991519;0.3212545849964954;0.1720484929974191;0.0888030060013989;;0.3378874760019243;;;;;;;;;;
