;Unnamed: 0;GPU_opencv_Dlib;GPU_opencv_Facenet512;GPU_opencv_Facenet;GPU_opencv_ArcFace;GPU_opencv_OpenFace;GPU_opencv_DeepID;GPU_opencv_DeepFace;GPU_opencv_GhostFaceNet;GPU_opencv_sFace;GPU_ssd_Dlib;GPU_ssd_Facenet512;GPU_ssd_Facenet;GPU_ssd_ArcFace;GPU_ssd_OpenFace;GPU_ssd_DeepID;GPU_ssd_DeepFace;GPU_ssd_GhostFaceNet;GPU_ssd_sFace;GPU_dlib_Dlib;GPU_dlib_Facenet512;GPU_dlib_Facenet;GPU_dlib_ArcFace;GPU_dlib_OpenFace;GPU_dlib_DeepID;GPU_dlib_DeepFace;GPU_dlib_GhostFaceNet;GPU_dlib_sFace;GPU_mtcnn_Dlib;GPU_mtcnn_Facenet512;GPU_mtcnn_Facenet;GPU_mtcnn_ArcFace;GPU_mtcnn_OpenFace;GPU_mtcnn_DeepID;GPU_mtcnn_DeepFace;GPU_mtcnn_GhostFaceNet;GPU_mtcnn_sFace;GPU_retinaface_Dlib;GPU_retinaface_Facenet512;GPU_retinaface_Facenet;GPU_retinaface_ArcFace;GPU_retinaface_OpenFace;GPU_retinaface_DeepID;GPU_retinaface_DeepFace;GPU_retinaface_GhostFaceNet;GPU_retinaface_sFace;GPU_yolov8_Dlib;GPU_yolov8_Facenet512;GPU_yolov8_Facenet;GPU_yolov8_ArcFace;GPU_yolov8_OpenFace;GPU_yolov8_DeepID;GPU_yolov8_DeepFace;GPU_yolov8_GhostFaceNet;GPU_yolov8_sFace;GPU_yunet_Dlib;GPU_yunet_Facenet512;GPU_yunet_Facenet;GPU_yunet_ArcFace;GPU_yunet_OpenFace;GPU_yunet_DeepID;GPU_yunet_DeepFace;GPU_yunet_GhostFaceNet;GPU_yunet_sFace;GPU_fastmtcnn_Dlib;GPU_fastmtcnn_Facenet512;GPU_fastmtcnn_Facenet;GPU_fastmtcnn_ArcFace;GPU_fastmtcnn_OpenFace;GPU_fastmtcnn_DeepID;GPU_fastmtcnn_DeepFace;GPU_fastmtcnn_GhostFaceNet;GPU_fastmtcnn_sFace
count;100.0;0.0;98.0;98.0;98.0;98.0;98.0;0.0;98.0;0.0;0.0;99.0;99.0;99.0;99.0;99.0;0.0;99.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;0.0;100.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;99.0;99.0;99.0;99.0;99.0;0.0;99.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
mean;49.5;;0.2946105573060888;0.26539935909176515;0.1860876437039762;0.17160047356134914;0.09696824044905429;;0.247605876846861;;;0.2029275021211997;0.20833718571719312;0.12427976631308885;0.11523364993943205;0.06588327016172774;;0.17649292362623994;;;;;;;;;;;;1.8010221645699493;1.0127654243000144;0.9706442850100575;1.0248922932199458;0.9921095633098957;;1.1467323406898686;;;0.9088848997298191;0.2723571981799614;0.18693763860990656;0.18026818252012164;0.12356464480986684;;0.25076539693018274;;;;;;;;;;;;0.18451882826266597;0.18030471921213234;0.10135226777779414;0.08599186620203263;0.04426229273739211;;0.1613236170001119;;;;;;;;;;
std;29.011491975882016;;0.36351341594059033;0.1890838333762369;0.2621600673465495;0.26097980607242904;0.06482309547759367;;0.3157971026250711;;;0.023334190557263917;0.022785479890474063;0.01735995300318469;0.015531855238917171;0.011008212531685851;;0.020109698819885495;;;;;;;;;;;;1.0054856686154257;0.1334774885081507;0.12364054265046444;0.12144099216019283;0.1222759027983371;;0.14169968477814548;;;1.2927036208558467;0.06796167435486376;0.034629656234555904;0.04939496912574045;0.015691736789358954;;0.06576503002111315;;;;;;;;;;;;0.026609095167381767;0.025380854413087753;0.016153375570233212;0.009591601533337418;0.008609736551533112;;0.02372890054791176;;;;;;;;;;
min;0.0;;0.1674379449996195;0.1559382719988207;0.0862406550004379;0.0771637770012603;0.0341545680003037;;0.1348748269992938;;;0.1658183939998707;0.1719108399993274;0.0919092830008594;0.0805792289993405;0.0416071809995628;;0.140535563999947;;;;;;;;;;;;0.6379833900009544;0.644059981999817;0.5816713590011204;0.6480780439997034;0.5756906920014444;;0.7067657810002856;;;0.225269100999867;0.224696106999545;0.151452509999217;0.1411966400009987;0.1042247980003594;;0.2044483340014267;;;;;;;;;;;;0.1511825430006865;0.1457299840003543;0.0744616779993521;0.0614896939987374;0.0241447839998727;;0.1230235929997434;;;;;;;;;;
25%;24.75;;0.22205573349992844;0.2146324097502656;0.14008574624995157;0.12581879599883902;0.07898500400051485;;0.18919363600025463;;;0.18979248499999804;0.19555438750012394;0.11117387650028826;0.10567359749984456;0.0574130315008005;;0.16428874699977308;;;;;;;;;;;;0.9878712425002049;0.9870967765009481;0.9508004525000615;1.0132916562511127;0.9825657795008738;;1.1277543179990062;;;0.2544566580004357;0.24419333275091043;0.16769215074964444;0.16150397825094842;0.11138070149991107;;0.2236701359997823;;;;;;;;;;;;0.16780273150015995;0.1674950999995417;0.0921663930002978;0.0819333184999777;0.040264928000397;;0.14580874450075493;;;;;;;;;;
50%;49.5;;0.2429687370004103;0.23714992850000272;0.1541855639998175;0.14354619200003066;0.09338204049981866;;0.20802933449976985;;;0.1994763610000518;0.2060494489996926;0.1250257969986705;0.1154313949991774;0.0655790410000918;;0.1752676940013771;;;;;;;;;;;;1.4318770579993725;1.026086259999829;0.9980781530002787;1.0472680534994652;1.029042889498669;;1.169692251000015;;;0.28124358900004154;0.25276166799994826;0.17718443600006134;0.16909068199947797;0.12419957949987284;;0.23221097250007;;;;;;;;;;;;0.1799149950002174;0.1749276169994118;0.0984856909999507;0.0854672660007054;0.0433950940005161;;0.1551239300006273;;;;;;;;;;
75%;74.25;;0.2622076480001851;0.25423141200099053;0.17724816275040212;0.15719030600121178;0.10742988650099505;;0.22359795924921855;;;0.21155470699886791;0.21804092450020102;0.1356861774993376;0.12259780850035895;0.07420296899999805;;0.18581481099954544;;;;;;;;;;;;2.4837931000001845;1.0501653877504393;1.035899385999983;1.083998046999568;1.0493644282491914;;1.2000662382497467;;;0.9610347754996836;0.26413187424986967;0.19065869750011183;0.18008598225105735;0.12784574050056102;;0.24068374174976268;;;;;;;;;;;;0.19583868650079234;0.1869696740004656;0.10625264550071731;0.0898526390001279;0.0484410174994991;;0.17027700749986252;;;;;;;;;;
max;99.0;;3.8002144639995095;2.0229168879996;2.725314826000613;2.7052615430002334;0.691770744000678;;3.298535430998527;;;0.367528011000104;0.3499157129990635;0.1940349829983461;0.1683563789993059;0.0938706070010084;;0.3064436709992151;;;;;;;;;;;;5.219755280000754;1.5463094100014132;1.3290279320008267;1.3336731790004706;1.1366736399995716;;1.6814312130009057;;;10.67881217500144;0.7013015829998039;0.382422377999319;0.5672593680010323;0.2104898640009196;;0.662841256998945;;;;;;;;;;;;0.3357329749997007;0.336856900001294;0.2019932259991037;0.1451182540004083;0.0745862320000014;;0.284113427000193;;;;;;;;;;
